Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,STATE
184,3/17/2020,6:00 PM,Odisha,1,0,0,0,1,ODISHA
185,3/17/2020,6:00 PM,Punjab,1,0,0,0,1,PUNJAB
186,3/17/2020,6:00 PM,Rajasthan,2,2,3,0,4,RAJASTHAN
187,3/17/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,TAMIL NADU
188,3/17/2020,6:00 PM,Telengana,3,2,1,0,5,TELENGANA
189,3/17/2020,6:00 PM,Jammu and Kashmir,3,0,0,0,3,JAMMU AND KASHMIR
190,3/17/2020,6:00 PM,Ladakh,6,0,0,0,6,LADAKH
191,3/17/2020,6:00 PM,Uttar Pradesh,14,1,5,0,15,UTTAR PRADESH
192,3/17/2020,6:00 PM,Uttarakhand,1,0,0,0,1,UTTARAKHAND
193,3/18/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,ANDHRA PRADESH
194,3/18/2020,6:00 PM,Delhi,9,1,2,1,10,DELHI
195,3/18/2020,6:00 PM,Haryana,3,14,0,0,17,HARYANA
196,3/18/2020,6:00 PM,Karnataka,11,0,0,1,11,KARNATAKA
197,3/18/2020,6:00 PM,Kerala,25,2,3,0,27,KERALA
198,3/18/2020,6:00 PM,Maharashtra,39,3,0,1,42,MAHARASHTRA
199,3/18/2020,6:00 PM,Odisha,1,0,0,0,1,ODISHA
200,3/18/2020,6:00 PM,Puducherry,1,0,0,0,1,PUDUCHERRY
201,3/18/2020,6:00 PM,Punjab,1,0,0,0,1,PUNJAB
202,3/18/2020,6:00 PM,Rajasthan,2,2,3,0,4,RAJASTHAN
203,3/18/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,TAMIL NADU
204,3/18/2020,6:00 PM,Telengana,4,2,1,0,6,TELENGANA
205,3/18/2020,6:00 PM,Jammu and Kashmir,3,0,0,0,3,JAMMU AND KASHMIR
206,3/18/2020,6:00 PM,Ladakh,8,0,0,0,8,LADAKH
207,3/18/2020,6:00 PM,Uttar Pradesh,15,1,5,0,16,UTTAR PRADESH
208,3/18/2020,6:00 PM,Uttarakhand,1,0,0,0,1,UTTARAKHAND
209,3/18/2020,6:00 PM,West Bengal,1,0,0,0,1,WEST BENGAL
210,3/19/2020,6:00 PM,Andhra Pradesh,2,0,0,0,2,ANDHRA PRADESH
211,3/19/2020,6:00 PM,Chhattisgarh,1,0,0,0,1,CHHATTISGARH
212,3/19/2020,6:00 PM,Delhi,11,1,3,1,12,DELHI
213,3/19/2020,6:00 PM,Haryana,3,14,0,0,17,HARYANA
214,3/19/2020,6:00 PM,Karnataka,14,0,0,1,14,KARNATAKA
215,3/19/2020,6:00 PM,Kerala,25,2,3,0,27,KERALA
216,3/19/2020,6:00 PM,Maharashtra,44,3,0,1,47,MAHARASHTRA
217,3/19/2020,6:00 PM,Odisha,1,0,0,0,1,ODISHA
218,3/19/2020,6:00 PM,Puducherry,1,0,0,0,1,PUDUCHERRY
219,3/19/2020,6:00 PM,Punjab,2,0,0,1,2,PUNJAB
220,3/19/2020,6:00 PM,Rajasthan,5,2,3,0,7,RAJASTHAN
221,3/19/2020,6:00 PM,Tamil Nadu,2,0,1,0,2,TAMIL NADU
222,3/19/2020,6:00 PM,Telengana,4,2,1,0,6,TELENGANA
223,3/19/2020,6:00 PM,Chandigarh,1,0,0,0,1,CHANDIGARH
224,3/19/2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4,JAMMU AND KASHMIR
